stamp,mode,armed,system_status,is_armable,fix_type,sats,lat,lon,alt_msl,alt_rel,roll,pitch,yaw,vx,vy,vz,groundspeed,airspeed,heading,rngf_dist,batt_voltage,batt_current,batt_level,last_hb,ekf_ok
1757118020.3511057,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008837664499878883,-0.0011124365264549851,-0.11475345492362976,0.01,-0.01,0.0,0.020141378045082092,0.020141398534178734,353,,12.6,0.0,100,0.4229835199998888,True
1757118020.4520624,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008837664499878883,-0.0011124365264549851,-0.11475345492362976,0.01,-0.01,0.0,0.020141378045082092,0.020141398534178734,353,,12.6,0.0,100,0.5234122710000975,True
1757118020.5529974,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008884192793630064,-0.001119451830163598,-0.11484381556510925,0.01,-0.01,0.0,0.02033829689025879,0.020338332280516624,353,,12.6,0.0,100,0.6153585849999672,True
1757118020.654161,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008884192793630064,-0.001119451830163598,-0.11484381556510925,0.01,-0.01,0.0,0.02033829689025879,0.020338332280516624,353,,12.6,0.0,100,0.7159085010000581,True
1757118020.75518,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008951729396358132,-0.0011298777535557747,-0.11494442820549011,0.01,-0.01,0.0,0.020425818860530853,0.020425820723176003,353,,12.6,0.0,100,0.8094682359999297,True
1757118020.8561873,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008951729396358132,-0.0011298777535557747,-0.11494442820549011,0.01,-0.01,0.0,0.020425818860530853,0.020425820723176003,353,,12.6,0.0,100,0.9099102650000077,True
1757118020.9589107,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008951729396358132,-0.0011298777535557747,-0.11494442820549011,0.01,-0.01,0.0,0.020425818860530853,0.020425820723176003,353,,12.6,0.0,100,6.333199985419924e-05,True
1757118021.060169,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008887028088793159,-0.0011289836838841438,-0.11503973603248596,0.01,-0.01,0.0,0.020281216129660606,0.020281270146369934,353,,12.6,0.0,100,0.11889777299984416,True
1757118021.161262,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008887028088793159,-0.0011289836838841438,-0.11503973603248596,0.01,-0.01,0.0,0.020281216129660606,0.020281270146369934,353,,12.6,0.0,100,0.21930939999992916,True
1757118021.2621803,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008874420891515911,-0.001128463656641543,-0.11513275653123856,0.01,-0.01,0.0,0.020403580740094185,0.020403631031513214,353,,12.6,0.0,100,0.3028800189999856,True
1757118021.3631303,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008874420891515911,-0.001128463656641543,-0.11513275653123856,0.01,-0.01,0.0,0.020403580740094185,0.020403631031513214,353,,12.6,0.0,100,0.4032794039999317,True
1757118021.4643323,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008901635301299393,-0.0011310696136206388,-0.11522489041090012,0.01,-0.01,0.0,0.020603623241186142,0.020603645592927933,353,,12.6,0.0,100,0.55252176099998,True
1757118021.5653982,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008901635301299393,-0.0011310696136206388,-0.11522489041090012,0.01,-0.01,0.0,0.020603623241186142,0.020603645592927933,353,,12.6,0.0,100,0.6095183229999748,True
1757118021.6664183,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008901635301299393,-0.0011310696136206388,-0.11522489041090012,0.01,-0.01,0.0,0.020603623241186142,0.020603645592927933,353,,12.6,0.0,100,0.7099416339999607,True
1757118021.767343,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008920459076762199,-0.0011328054824844003,-0.11531670391559601,0.01,-0.01,0.0,0.020698796957731247,0.020698854699730873,353,,12.6,0.0,100,0.8084515460000148,True
1757118021.8683107,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008920459076762199,-0.0011328054824844003,-0.11531670391559601,0.01,-0.01,0.0,0.020698796957731247,0.020698854699730873,353,,12.6,0.0,100,0.90907550299994,True
1757118021.9692776,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008943778811953962,-0.0011290363036096096,-0.11540696024894714,0.01,-0.01,0.0,0.020570974797010422,0.020570985972881317,353,,12.6,0.0,100,0.05103805099997771,True
1757118022.070209,STABILIZE,False,STANDBY,True,6,10,-35.3632621,149.1652373,584.07,-0.011,-0.0008943778811953962,-0.0011290363036096096,-0.11540696024894714,0.01,-0.01,0.0,0.020570974797010422,0.020570985972881317,353,,12.6,0.0,100,0.13489340899991475,True
